id,score,ratings,name
313,4.9,14.0,Bayleaf Authentic Indian Cuisine
318,4.7,15.0,Eli's Jerusalem Grill
319,4.4,100.0,Outback Steakhouse (3440 Galleria Circle)
320,4.2,29.0,Zoe's Kitchen (5247 Highway 280)
327,5.0,22.0,Papa Johns (736 Montgomery Hwy)
329,4.7,34.0,Chipotle Mexican Grill (1051 Amber Drive Suite 100)
330,4.1,80.0,Cracker Barrel Old Country Store (5040 Academy Lane)
334,4.5,14.0,"Moe's Southwest Grill (300 Colonial Parkway, Suite 100)"
335,4.9,76.0,The Heavenly Donut Co.
336,4.8,31.0,Schlotzsky's Deli (Inverness Corners)
337,4.5,36.0,"Charleys Cheesesteaks and Wings - Walmart - Hoover, AL"
338,4.8,40.0,McAlister's Deli (152 Bowling Lane)
339,4.7,26.0,Firehouse Subs (100 S. Colonial Dr. #1200)
342,4.8,82.0,Nori (4704 Cahaba River Rd)
344,4.5,100.0,Firebirds Wood Fired Grill (191 Main St)
345,4.5,17.0,Kabob-Licious
346,4.7,84.0,Silvercoin Indian Grill
356,4.7,52.0,O Sushi
357,5.0,23.0,Mr. Lin Chinese Restaurant
360,4.6,42.0,Greek Street
361,4.8,60.0,Teriyaki Madness - 4741 Chace Circle
363,4.3,44.0,Rock-N-Roll Sushi (Colonnade Pkwy)
365,4.3,38.0,Yan Express
381,4.8,100.0,Flying Biscuit Cafe (The Shops of the Colonnade)
382,4.6,55.0,Freddy's Frozen Custard &amp; Steakburgers (5634 Grove Blvd.)
383,4.5,37.0,Salvatore's Pizza &amp; Pasta
391,4.6,67.0,Big Bad Breakfast (5361 US 280)
392,4.7,18.0,Ruby Sunshine (Brook Highland)
393,4.8,69.0,First Watch (Hoover)
398,4.5,21.0,Sanpeggio's Pizza
403,4.3,14.0,Hacienda Mexican Grill
407,4.5,42.0,The Purple Onion (Inverness)
410,4.6,27.0,Little Donkey Mexican Restaurant | Greystone
411,5.0,14.0,Great American Cookies (Riverchase Galleria)
415,4.7,19.0,El Patron
418,4.7,21.0,Papa Johns (565 1St Street North)
420,4.8,16.0,Jersey Mike's Subs (1114 1st Street)
423,3.6,17.0,Golden Corral (3117 Lorna Rd)
424,4.4,41.0,The Fish Market Restaurant (Hwy 280)
426,4.5,40.0,Red Lobster (1030 Montgomery Hwy. South)
427,3.8,16.0,Dave &amp; Buster's (Birmingham)
433,3.9,13.0,Bojangles (4780 Eastern Valley Road)
434,3.9,11.0,Wendy's  (2931 Morgan Rd)
436,4.4,87.0,San Antonio Grill (McCalla)
437,4.1,11.0,Buster's American Kitchen (Birmingham)
438,4.6,37.0,Panera (100 S Colonial Drive Suite 200)
440,4.5,100.0,Fish Market Restaurant
441,4.2,16.0,Hootie's Burger Bar (400 Cahaba Valley Rd)
442,4.2,41.0,Dairy Queen Grill &amp; Chill (2924 Morgan Rd)
444,4.9,21.0,The Craft Burger
446,4.7,53.0,"Newk's Eatery (3780 Riverchase Village, Suite 1000)"
448,4.7,63.0,Melt (Hoover)
449,4.4,67.0,Saltgrass (2943 John Hawkins Pkwy)
450,4.3,68.0,American Deli 
451,4.8,11.0,McDonald's® (7210 WYNDHAM PKWY)
452,4.6,24.0,Whiskey Foxtrot Burger Dive
453,4.6,23.0,Golden Fish &amp; Chicken
454,4.6,41.0,San Antonio Grill (Helena)
456,4.1,100.0,Cracker Barrel Old Country Store (655 Cahaba Valley Road)
457,3.8,49.0,O'Charley's (285 Colonial Promenade Pkwy)
459,4.8,37.0,Zaxby's (3437 Pelham Pkwy)
460,4.8,56.0,MOOYAH Burgers (Hoover)
461,4.7,100.0,Five Guys AL-0451 4730 Chace Cir
463,4.7,100.0,Taste Of Thailand
466,4.6,38.0,IHOP (2000 Pelham Parkway)
468,4.5,94.0,Outback Steakhouse (5231 Highway 280 South)
469,4.6,46.0,Super Chix (Hover)
470,4.7,100.0,Metro Diner (Inverness Birmingham)
474,4.6,66.0,Rock-N-Roll Sushi (Creekside Ave)
475,4.8,37.0,Starbucks (Hwy 119 &amp; Kent Dairy)
476,4.1,43.0,The Seafood King Bessemer
477,4.4,34.0,Jubilee Joe's Cajun Seafood Restaurant
478,4.7,15.0,Subway (438 1st Street Southwest)
479,4.8,30.0,"Tropical Smoothie Cafe (3049 John Hawkins Pkwy, Ste 100)"
481,4.4,58.0,Brixx Wood Fire Pizza (Hoover)
486,4.8,63.0,Krispy Kreme (1990 New Patton Chapel Road)
487,3.9,12.0,Church's Chicken  (1801 Carolina Ave.)
488,4.7,46.0,Dunkin' (2419 Acton Rd)
490,4.9,67.0,"Chicken Salad Chick (0054 - Hoover - Riverchase, AL)"
491,4.6,100.0,Jason's Deli (3032 John Hawkins Pkwy)
493,4.1,48.0,Hooters (Pelham)
494,4.3,36.0,Twin Peaks (4330 Creekside Ave)
495,4.1,22.0,KFC (630 Cahaba Valley Road)
496,4.5,20.0,Applebee's (Highway 119)
497,4.0,100.0,Logan's Roadhouse 475 (5000 Bond Boulevard)
498,4.6,100.0,Jake's Soul Food Cafe
499,4.5,19.0,Popeyes (3300 Pelham Pkwy)
501,4.6,22.0,Taco Bell (4804 Highway 52 W)
502,4.2,20.0,Panda Express (245 S. Colonial Drive)
503,4.6,41.0,Chick-fil-A (2432 Helena Rd)
510,4.7,14.0,McDonald's® (5170 MEDFORD DRIVE)
511,4.6,66.0,Chipotle Mexican Grill (1759 Montgomery Hwy)
513,4.8,77.0,Zaxbys (2735 John Hawkins Pkwy)
514,3.8,14.0,Taco Bell (450 Colonial Promenade Pkwy)
515,4.5,51.0,Panda Express (3780 Lorna Rd)
518,4.7,69.0,Panera (700 Montgomery Highway)
519,4.5,37.0,McAlister's Deli (4977 Promenade Parkway Suite 121)
520,4.7,13.0,Smoothie King (3056 Healthy Way Suite 144)
